Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Name
8,62,Yes,4,2,52.0,David_14
1,88,Yes,9,1,65.0,Eve_14
8,43,Yes,7,3,36.0,Alice_15
8,68,No,7,3,61.0,Bob_15
3,54,Yes,5,0,35.0,Charlie_15
1,40,Yes,8,8,15.0,David_15
8,93,Yes,6,9,88.0,Eve_15
3,69,No,4,7,45.0,Alice_16
3,68,Yes,9,6,49.0,Bob_16
1,59,Yes,8,5,33.0,Charlie_16
5,72,Yes,9,2,60.0,David_16
7,80,No,8,3,71.0,Eve_16
9,83,Yes,4,1,81.0,Alice_17
7,75,No,6,6,67.0,Bob_17
9,99,No,4,1,95.0,Charlie_17
8,61,Yes,6,9,58.0,David_17
2,52,No,9,0,29.0,Eve_17
1,46,No,5,5,21.0,Alice_18
7,47,Yes,6,3,38.0,Bob_18
7,67,Yes,8,7,60.0,Charlie_18
8,84,Yes,5,0,76.0,David_18
5,82,Yes,9,8,69.0,Eve_18
3,48,No,7,5,30.0,Alice_19
8,64,No,5,1,57.0,Bob_19
6,95,Yes,6,7,81.0,Charlie_19
3,55,Yes,5,4,36.0,David_19
1,49,Yes,9,4,25.0,Eve_19
3,50,No,5,4,27.0,Alice_20
5,70,Yes,9,6,61.0,Bob_20
3,51,No,7,6,34.0,Charlie_20
1,99,No,6,9,76.0,David_20
5,70,No,8,6,57.0,Eve_20
7,53,No,5,9,45.0,Alice_21
7,90,Yes,4,1,76.0,Bob_21
9,83,Yes,8,7,83.0,Charlie_21
3,71,Yes,5,0,50.0,David_21
7,89,No,8,1,81.0,Eve_21
1,92,No,4,6,66.0,Alice_22
4,56,Yes,8,3,38.0,Bob_22
4,74,No,8,9,56.0,Charlie_22
5,40,No,4,9,25.0,David_22
7,68,No,4,8,56.0,Eve_22
7,90,Yes,4,8,82.0,Alice_23
4,43,Yes,7,2,23.0,Bob_23
7,62,Yes,9,2,56.0,Charlie_23
3,67,No,9,8,46.0,David_23
6,55,Yes,4,9,43.0,Eve_23
2,51,Yes,9,7,30.0,Alice_24
9,92,Yes,8,0,92.0,Bob_24
5,60,No,4,5,45.0,Charlie_24
6,84,No,5,6,70.0,David_24
4,56,No,4,7,36.0,Eve_24
7,79,No,4,1,71.0,Alice_25
9,52,No,9,0,49.0,Bob_25
7,91,Yes,6,3,82.0,Charlie_25
1,97,Yes,8,0,71.0,David_25
1,71,No,9,1,43.0,Eve_25
9,76,No,8,2,77.0,Alice_26
9,89,Yes,5,3,86.0,Bob_26
4,54,No,7,5,34.0,Charlie_26
9,51,No,6,7,49.0,David_26
3,88,No,5,8,69.0,Eve_26
7,96,No,5,3,84.0,Alice_27
6,54,No,8,0,41.0,Bob_27
8,73,Yes,6,4,68.0,Charlie_27
9,45,Yes,8,4,44.0,David_27
5,56,No,7,8,41.0,Eve_27
1,87,No,8,5,58.0,Alice_28
3,88,Yes,4,4,68.0,Bob_28
8,96,No,8,9,94.0,Charlie_28
6,59,Yes,4,9,47.0,David_28
8,48,No,5,4,40.0,Eve_28
9,98,Yes,7,7,100.0,Alice_29
4,44,Yes,9,0,23.0,Bob_29
1,62,No,4,4,36.0,Charlie_29
1,72,No,7,0,47.0,David_29
4,77,Yes,8,6,60.0,Eve_29
7,95,No,9,6,83.0,Alice_30
2,53,Yes,8,9,33.0,Bob_30
3,56,No,5,7,36.0,Charlie_30
1,96,No,8,6,74.0,David_30
5,58,No,4,8,42.0,Eve_30
1,72,Yes,5,7,47.0,Alice_31
8,40,Yes,7,7,31.0,Bob_31
1,52,No,5,2,26.0,Charlie_31
1,85,Yes,7,9,58.0,David_31
2,66,No,6,3,42.0,Eve_31
2,45,Yes,4,3,18.0,Alice_32
6,98,No,4,0,85.0,Bob_32
7,45,Yes,7,5,36.0,Charlie_32
5,72,Yes,8,1,58.0,David_32
1,69,Yes,9,8,45.0,Eve_32
1,85,Yes,8,0,60.0,Alice_33
3,74,Yes,6,0,56.0,Bob_33
2,62,Yes,7,9,42.0,Charlie_33
5,49,No,6,5,33.0,David_33
6,90,No,7,0,77.0,Eve_33
7,58,Yes,6,2,51.0,Alice_34
4,90,No,7,9,72.0,Bob_34
7,67,Yes,4,1,57.0,Charlie_34
8,62,No,6,8,53.0,David_34
1,43,No,6,4,16.0,Eve_34
6,59,No,7,5,45.0,Alice_35
8,58,No,5,1,49.0,Bob_35
5,81,Yes,5,7,67.0,Charlie_35
4,66,No,4,5,49.0,David_35
2,96,No,8,7,73.0,Eve_35
6,73,No,8,7,65.0,Alice_36
6,43,Yes,4,0,27.0,Bob_36
1,95,No,8,6,72.0,Charlie_36
9,77,Yes,9,1,74.0,David_36
6,46,Yes,9,7,38.0,Eve_36
3,87,No,9,1,67.0,Alice_37
4,46,Yes,9,3,28.0,Bob_37
4,89,No,7,1,73.0,Charlie_37
3,91,No,5,6,72.0,David_37
3,65,No,4,4,42.0,Eve_37
3,65,No,7,8,47.0,Alice_38
4,93,No,9,4,77.0,Bob_38
7,58,No,4,7,49.0,Charlie_38
4,48,No,5,1,30.0,David_38
9,59,Yes,8,2,54.0,Eve_38
1,81,Yes,7,5,56.0,Alice_39
8,84,No,5,6,75.0,Bob_39
7,89,No,4,9,78.0,Charlie_39
2,55,Yes,6,7,32.0,David_39
8,93,No,7,2,89.0,Eve_39
1,56,Yes,4,6,29.0,Alice_40
9,61,Yes,4,7,57.0,Bob_40
9,52,No,5,9,48.0,Charlie_40
2,51,No,4,5,27.0,David_40
7,49,Yes,7,3,38.0,Eve_40
3,40,Yes,9,5,18.0,Alice_41
7,71,No,7,8,66.0,Bob_41
9,69,No,4,2,65.0,Charlie_41
4,47,Yes,5,1,27.0,David_41
1,60,Yes,7,4,33.0,Eve_41
2,61,Yes,6,6,37.0,Alice_42
1,57,No,9,2,29.0,Bob_42
5,41,No,8,4,26.0,Charlie_42
5,87,No,5,3,72.0,David_42
7,83,Yes,5,6,77.0,Eve_42
9,48,Yes,8,1,45.0,Alice_43
9,42,No,8,6,41.0,Bob_43
3,93,Yes,7,1,73.0,Charlie_43
3,65,Yes,4,2,43.0,David_43
3,60,Yes,4,4,39.0,Eve_43
4,69,Yes,6,6,54.0,Alice_44
8,67,Yes,9,5,62.0,Bob_44
6,75,No,4,6,63.0,Charlie_44
8,65,No,6,5,59.0,David_44
1,73,No,6,0,46.0,Eve_44
8,47,No,5,4,42.0,Alice_45
4,49,No,5,0,30.0,Bob_45
1,87,Yes,9,6,63.0,Charlie_45
8,94,Yes,7,3,89.0,David_45
4,82,Yes,8,4,62.0,Eve_45
6,89,No,8,0,77.0,Alice_46
8,93,Yes,9,7,88.0,Bob_46
4,53,Yes,6,3,35.0,Charlie_46
3,79,Yes,9,2,60.0,David_46
9,94,No,8,0,92.0,Eve_46
3,54,Yes,6,3,38.0,Alice_47
9,56,Yes,8,2,56.0,Bob_47
2,92,No,7,7,70.0,Charlie_47
2,57,No,5,8,35.0,David_47
2,71,Yes,5,4,47.0,Eve_47
6,77,No,6,8,66.0,Alice_48
3,62,Yes,9,0,43.0,Bob_48
9,85,No,8,6,81.0,Charlie_48
4,62,Yes,4,6,43.0,David_48
1,74,Yes,7,5,46.0,Eve_48
4,78,No,8,3,61.0,Alice_49
1,54,No,4,8,27.0,Bob_49
5,92,No,7,2,77.0,Charlie_49
4,63,No,7,0,43.0,David_49
8,67,Yes,5,1,60.0,Eve_49
8,55,No,6,2,48.0,Alice_50
7,55,Yes,8,1,47.0,Bob_50
3,79,Yes,7,5,60.0,Charlie_50
1,78,Yes,8,6,53.0,David_50
1,45,No,7,4,19.0,Eve_50
3,41,Yes,9,4,23.0,Alice_51
6,93,Yes,5,6,81.0,Bob_51
7,52,No,6,5,41.0,Charlie_51
6,83,Yes,4,7,71.0,David_51
6,86,Yes,4,8,75.0,Eve_51
6,98,Yes,9,1,89.0,Alice_52
3,48,No,5,1,28.0,Bob_52
6,73,Yes,7,0,60.0,Charlie_52
8,56,Yes,5,6,54.0,David_52
2,66,Yes,6,3,41.0,Eve_52
5,68,No,4,8,52.0,Alice_53
1,76,No,8,5,53.0,Bob_53
1,82,No,4,6,52.0,Charlie_53
5,61,Yes,6,6,47.0,David_53
3,90,Yes,7,7,71.0,Eve_53
4,63,Yes,5,3,42.0,Alice_54
3,46,Yes,4,2,21.0,Bob_54
1,73,Yes,4,2,48.0,Charlie_54
1,87,No,8,9,64.0,David_54
5,51,Yes,5,7,38.0,Eve_54
6,62,Yes,8,2,49.0,Alice_55
3,54,No,8,7,35.0,Bob_55
9,72,No,7,1,73.0,Charlie_55
5,96,Yes,4,4,81.0,David_55
8,52,No,9,4,47.0,Eve_55
1,62,No,5,6,36.0,Alice_56
5,77,No,7,4,63.0,Bob_56
3,71,Yes,9,8,52.0,Charlie_56
1,84,No,7,2,58.0,David_56
4,89,Yes,7,8,77.0,Eve_56
5,74,No,6,0,58.0,Alice_57
7,40,Yes,6,2,33.0,Bob_57
1,86,Yes,7,3,67.0,Charlie_57
3,97,Yes,6,5,76.0,David_57
2,84,No,5,9,62.0,Eve_57
9,44,No,4,7,37.0,Alice_58
6,96,No,9,6,86.0,Bob_58
3,52,Yes,5,7,37.0,Charlie_58
8,93,No,4,5,88.0,David_58
8,44,No,6,5,38.0,Eve_58
2,99,Yes,9,5,76.0,Alice_59
6,71,No,5,2,57.0,Bob_59
7,90,Yes,8,9,82.0,Charlie_59
2,60,No,7,3,35.0,David_59
2,63,Yes,4,5,41.0,Eve_59
1,99,Yes,4,6,75.0,Alice_60
8,57,No,8,2,51.0,Bob_60
1,60,Yes,8,3,34.0,Charlie_60
9,93,No,7,5,92.0,David_60
6,49,No,6,0,39.0,Eve_60
7,63,No,5,6,56.0,Alice_61
7,79,No,5,0,69.0,Bob_61
3,86,Yes,5,9,69.0,Charlie_61
2,60,Yes,6,8,40.0,David_61
9,64,Yes,7,9,63.0,Eve_61
8,91,No,5,8,86.0,Alice_62
7,99,No,4,8,89.0,Bob_62
9,96,Yes,4,3,94.0,Charlie_62
4,98,Yes,4,1,79.0,David_62
4,62,No,8,6,44.0,Eve_62
1,61,No,8,3,33.0,Alice_63
8,43,No,6,4,36.0,Bob_63
3,73,Yes,5,0,50.0,Charlie_63
7,95,No,8,9,94.0,David_63
2,45,Yes,4,5,22.0,Eve_63
2,67,No,8,6,44.0,Alice_64
7,70,Yes,4,2,60.0,Bob_64
6,74,No,5,9,64.0,Charlie_64
3,78,Yes,6,1,58.0,David_64
9,81,Yes,7,9,78.0,Eve_64
6,62,Yes,7,6,51.0,Alice_65
6,45,No,4,0,30.0,Bob_65
1,55,Yes,8,1,29.0,Charlie_65
4,41,Yes,8,2,22.0,David_65
6,63,No,4,3,51.0,Eve_65
6,56,Yes,5,4,45.0,Alice_66
5,84,Yes,4,3,70.0,Bob_66
1,40,No,5,9,10.0,Charlie_66
8,45,Yes,6,2,38.0,David_66
5,44,No,6,0,30.0,Eve_66
5,96,Yes,4,6,82.0,Alice_67
7,84,No,6,9,74.0,Bob_67
4,99,Yes,8,5,87.0,Charlie_67
6,94,Yes,5,1,77.0,David_67
4,89,Yes,7,1,72.0,Eve_67
3,68,No,7,2,51.0,Alice_68
7,51,Yes,6,7,40.0,Bob_68
8,78,Yes,5,7,72.0,Charlie_68
4,86,No,8,9,68.0,David_68
2,42,No,7,9,22.0,Eve_68
3,87,No,8,9,67.0,Alice_69
1,40,Yes,8,9,18.0,Bob_69
8,66,Yes,7,7,64.0,Charlie_69
3,87,Yes,7,6,66.0,David_69
7,63,No,6,1,50.0,Eve_69
5,83,No,5,0,68.0,Alice_70
5,58,Yes,4,5,44.0,Bob_70
7,98,Yes,5,7,90.0,Charlie_70
9,47,No,4,0,41.0,David_70
5,94,No,7,2,83.0,Eve_70
1,83,No,8,0,57.0,Alice_71
1,86,Yes,5,9,64.0,Bob_71
2,41,No,8,8,18.0,Charlie_71
6,69,No,5,6,62.0,David_71
9,69,No,9,7,66.0,Eve_71
8,88,No,5,8,85.0,Alice_72
5,78,Yes,8,2,62.0,Bob_72
1,84,No,9,9,62.0,Charlie_72
7,71,Yes,6,1,62.0,David_72
5,40,Yes,7,5,26.0,Eve_72
6,77,No,6,4,66.0,Alice_73
7,52,No,6,3,43.0,Bob_73
3,50,Yes,5,5,30.0,Charlie_73
3,49,No,7,5,25.0,David_73
5,87,Yes,9,2,77.0,Eve_73
6,98,No,5,1,88.0,Alice_74
9,65,Yes,4,8,62.0,Bob_74
5,95,Yes,5,7,82.0,Charlie_74
1,94,Yes,9,3,73.0,David_74
4,59,No,8,5,44.0,Eve_74
5,56,Yes,5,2,40.0,Alice_75
5,56,Yes,4,7,39.0,Bob_75
7,43,No,5,2,34.0,Charlie_75
4,44,No,9,1,27.0,David_75
1,99,Yes,4,6,73.0,Eve_75
5,62,Yes,7,2,46.0,Alice_76
7,85,No,9,8,78.0,Bob_76
6,91,Yes,5,2,80.0,Charlie_76
5,49,No,4,7,33.0,David_76
4,85,No,9,1,68.0,Eve_76
2,67,No,7,8,45.0,Alice_77
4,72,Yes,8,0,56.0,Bob_77
3,82,No,6,2,58.0,Charlie_77
1,65,Yes,4,1,37.0,David_77
8,94,Yes,8,6,88.0,Eve_77
5,89,No,7,4,75.0,Alice_78
4,87,No,8,7,70.0,Bob_78
8,68,No,5,1,62.0,Charlie_78
7,66,No,6,7,57.0,David_78
2,57,Yes,4,6,32.0,Eve_78
1,79,Yes,9,4,53.0,Alice_79
4,99,No,7,1,82.0,Bob_79
8,49,Yes,6,9,41.0,Charlie_79
2,97,No,7,6,75.0,David_79
3,81,Yes,8,9,63.0,Eve_79
1,44,Yes,7,3,17.0,Alice_80
1,49,Yes,7,3,24.0,Bob_80
3,89,No,8,7,69.0,Charlie_80
5,60,Yes,8,5,47.0,David_80
3,63,Yes,6,8,43.0,Eve_80
1,77,Yes,4,1,48.0,Alice_81
1,42,Yes,8,4,17.0,Bob_81
8,79,No,6,5,75.0,Charlie_81
2,70,Yes,7,7,54.0,David_81
3,80,No,7,3,59.0,Eve_81
2,76,No,9,6,56.0,Alice_82
3,41,Yes,5,6,20.0,Bob_82
7,41,Yes,8,3,34.0,Charlie_82
1,78,No,6,0,54.0,David_82
8,88,No,9,2,83.0,Eve_82
2,81,No,6,1,59.0,Alice_83
3,83,Yes,4,2,63.0,Bob_83
9,73,Yes,9,4,72.0,Charlie_83
7,81,No,6,0,70.0,David_83
4,59,No,8,4,41.0,Eve_83
5,72,No,6,1,54.0,Alice_84
2,43,Yes,5,3,21.0,Bob_84
8,84,Yes,7,5,83.0,Charlie_84
4,83,No,7,8,64.0,David_84
9,50,Yes,9,9,51.0,Eve_84
5,81,No,6,5,66.0,Alice_85
9,86,Yes,6,9,83.0,Bob_85
4,44,No,6,1,26.0,Charlie_85
5,64,Yes,6,7,49.0,David_85
9,88,Yes,5,4,85.0,Eve_85
8,99,Yes,8,8,95.0,Alice_86
3,76,Yes,5,9,56.0,Bob_86
1,73,Yes,5,8,50.0,Charlie_86
3,48,Yes,5,3,23.0,David_86
4,45,Yes,7,0,26.0,Eve_86
2,57,No,5,8,30.0,Alice_87
1,53,No,6,8,28.0,Bob_87
7,58,No,5,7,48.0,Charlie_87
8,53,Yes,6,4,46.0,David_87
7,79,Yes,9,4,73.0,Eve_87
5,56,Yes,8,9,45.0,Alice_88
1,99,No,7,5,76.0,Bob_88
7,74,No,8,0,71.0,Charlie_88
7,68,No,9,8,60.0,David_88
9,81,No,8,4,77.0,Eve_88
3,56,No,7,6,36.0,Alice_89
9,98,No,6,7,96.0,Bob_89
1,82,Yes,9,4,62.0,Charlie_89
1,47,No,9,2,22.0,David_89
4,40,Yes,6,5,21.0,Eve_89
9,84,No,6,6,79.0,Alice_90
6,92,No,7,3,82.0,Bob_90
3,75,Yes,5,8,55.0,Charlie_90
1,46,Yes,4,3,22.0,David_90
4,85,Yes,5,9,70.0,Eve_90
9,44,No,5,1,37.0,Alice_91
3,63,No,8,8,42.0,Bob_91
9,67,Yes,4,3,64.0,Charlie_91
7,82,No,6,3,72.0,David_91
4,56,Yes,5,9,42.0,Eve_91
3,76,No,7,0,56.0,Alice_92
5,59,No,5,1,43.0,Bob_92
5,42,No,6,2,24.0,Charlie_92
3,76,Yes,5,6,55.0,David_92
9,65,No,9,8,64.0,Eve_92
4,54,Yes,8,4,34.0,Alice_93
5,90,Yes,8,3,78.0,Bob_93
4,87,Yes,5,1,71.0,Charlie_93
5,47,Yes,8,6,33.0,David_93
7,52,Yes,7,5,46.0,Eve_93
9,87,Yes,4,6,86.0,Alice_94
7,42,Yes,5,7,34.0,Bob_94
5,40,Yes,7,8,26.0,Charlie_94
7,48,Yes,9,9,44.0,David_94
5,70,No,7,4,53.0,Eve_94
3,80,Yes,7,4,61.0,Alice_95
7,93,No,9,3,84.0,Bob_95
2,65,Yes,6,2,40.0,Charlie_95
9,56,No,5,6,53.0,David_95
1,95,No,5,4,67.0,Eve_95
6,73,No,5,6,58.0,Alice_96
7,48,No,4,1,41.0,Bob_96
8,95,No,7,8,89.0,Charlie_96
9,90,No,5,8,85.0,David_96
2,52,Yes,8,8,33.0,Eve_96
2,44,Yes,6,4,20.0,Alice_97
5,80,Yes,9,9,66.0,Bob_97
5,52,Yes,9,8,38.0,Charlie_97
6,40,Yes,4,0,25.0,David_97
3,64,Yes,9,1,43.0,Eve_97
8,86,No,6,9,79.0,Alice_98
1,43,Yes,7,4,16.0,Bob_98
6,75,No,9,4,67.0,Charlie_98
4,91,No,9,5,80.0,David_98
1,49,No,8,7,26.0,Eve_98
7,67,No,7,0,57.0,Alice_99
9,96,No,5,9,91.0,Bob_99
4,45,No,6,8,29.0,Charlie_99
4,66,Yes,9,3,48.0,David_99
6,95,No,8,7,84.0,Eve_99
3,51,No,6,4,33.0,Alice_100
6,91,Yes,4,0,82.0,Bob_100
7,87,Yes,8,8,81.0,Charlie_100
3,42,Yes,4,7,24.0,David_100
7,85,Yes,9,4,81.0,Eve_100
3,72,Yes,8,3,54.0,Alice_101
2,49,Yes,5,7,25.0,Bob_101
4,70,Yes,6,8,53.0,Charlie_101
8,54,No,6,6,48.0,David_101
9,46,Yes,7,3,40.0,Eve_101
7,75,No,8,6,66.0,Alice_102
1,53,Yes,8,5,29.0,Bob_102
3,95,Yes,4,2,73.0,Charlie_102
9,87,No,8,9,89.0,David_102
1,53,Yes,6,2,27.0,Eve_102
9,42,Yes,8,0,40.0,Alice_103
8,88,Yes,7,4,83.0,Bob_103
1,92,Yes,7,7,69.0,Charlie_103
6,85,Yes,6,5,72.0,David_103
5,89,Yes,6,7,77.0,Eve_103
6,42,Yes,6,6,32.0,Alice_104
5,61,No,8,1,49.0,Bob_104
6,58,Yes,8,7,44.0,Charlie_104
5,74,No,5,3,57.0,David_104
5,51,No,9,4,34.0,Eve_104
4,93,No,9,7,76.0,Alice_105
3,44,No,4,4,22.0,Bob_105
3,49,No,8,4,30.0,Charlie_105
4,80,No,5,5,67.0,David_105
9,72,No,5,6,71.0,Eve_105
2,52,Yes,7,8,29.0,Alice_106
9,74,Yes,8,6,74.0,Bob_106
1,90,Yes,5,5,67.0,Charlie_106
1,71,No,7,9,46.0,David_106
5,50,Yes,4,3,34.0,Eve_106
6,87,No,7,9,76.0,Alice_107
6,77,No,4,1,64.0,Bob_107
3,63,Yes,9,8,46.0,Charlie_107
7,74,No,9,9,68.0,David_107
9,58,No,6,4,58.0,Eve_107
8,45,Yes,6,4,41.0,Alice_108
6,79,No,7,2,64.0,Bob_108
8,93,Yes,6,2,84.0,Charlie_108
5,84,No,8,0,70.0,David_108
8,83,No,7,4,77.0,Eve_108
4,81,Yes,5,2,60.0,Alice_109
8,74,Yes,8,1,65.0,Bob_109
2,43,Yes,7,8,21.0,Charlie_109
5,72,No,9,9,60.0,David_109
9,52,No,4,5,48.0,Eve_109
4,95,Yes,6,2,77.0,Alice_110
6,75,Yes,6,6,63.0,Bob_110
1,93,Yes,6,8,68.0,Charlie_110
9,82,No,7,8,81.0,David_110
1,58,No,8,0,29.0,Eve_110
5,82,Yes,4,1,66.0,Alice_111
4,51,Yes,6,7,36.0,Bob_111
3,50,Yes,8,0,29.0,Charlie_111
6,45,No,5,2,32.0,David_111
2,51,Yes,9,6,31.0,Eve_111
3,66,Yes,5,7,45.0,Alice_112
5,80,Yes,4,4,65.0,Bob_112
9,64,No,6,1,57.0,Charlie_112
2,81,No,5,2,58.0,David_112
8,42,Yes,9,8,38.0,Eve_112
2,42,No,8,9,22.0,Alice_113
5,59,Yes,8,6,48.0,Bob_113
7,67,Yes,5,0,59.0,Charlie_113
8,62,Yes,6,2,58.0,David_113
1,87,Yes,9,8,62.0,Eve_113
6,42,No,4,6,30.0,Alice_114
1,81,Yes,6,1,56.0,Bob_114
2,63,Yes,7,5,40.0,Charlie_114
1,82,No,5,8,59.0,David_114
5,79,Yes,7,3,65.0,Eve_114
9,45,No,5,9,43.0,Alice_115
6,59,Yes,4,1,48.0,Bob_115
1,50,Yes,6,2,24.0,Charlie_115
1,71,Yes,9,6,51.0,David_115
2,99,Yes,6,3,81.0,Eve_115
9,66,No,5,6,62.0,Alice_116
3,60,Yes,8,4,43.0,Bob_116
1,83,No,7,7,63.0,Charlie_116
5,87,No,9,7,73.0,David_116
7,89,No,9,4,76.0,Eve_116
6,52,Yes,6,6,43.0,Alice_117
1,61,No,6,5,34.0,Bob_117
5,74,No,5,7,57.0,Charlie_117
5,86,No,8,8,72.0,David_117
6,61,Yes,7,4,47.0,Eve_117
3,67,Yes,8,6,52.0,Alice_118
5,60,No,9,0,49.0,Bob_118
7,85,No,8,7,77.0,Charlie_118
5,57,Yes,5,2,41.0,David_118
5,70,No,8,0,56.0,Eve_118
5,99,No,7,5,89.0,Alice_119
3,85,No,9,7,65.0,Bob_119
1,76,Yes,4,2,49.0,Charlie_119
5,60,No,9,0,48.0,David_119
9,53,No,4,2,47.0,Eve_119
1,64,Yes,7,4,37.0,Alice_120
3,66,No,9,7,48.0,Bob_120
4,79,Yes,9,8,61.0,Charlie_120
1,99,Yes,9,8,77.0,David_120
1,99,Yes,9,3,75.0,Eve_120
8,62,No,5,7,57.0,Alice_121
2,70,No,6,4,45.0,Bob_121
8,86,No,9,2,82.0,Charlie_121
7,99,No,5,4,90.0,David_121
2,68,No,7,1,42.0,Eve_121
6,86,No,9,5,74.0,Alice_122
6,69,No,8,0,60.0,Bob_122
3,90,No,9,5,73.0,Charlie_122
2,65,Yes,9,4,40.0,David_122
1,59,No,4,8,32.0,Eve_122
6,77,No,8,6,67.0,Alice_123
5,58,Yes,9,5,46.0,Bob_123
9,66,No,9,6,65.0,Charlie_123
1,64,Yes,9,9,42.0,David_123
7,79,No,5,4,69.0,Eve_123
5,77,No,7,0,62.0,Alice_124
5,91,Yes,4,8,75.0,Bob_124
2,62,Yes,9,4,40.0,Charlie_124
3,68,No,7,3,43.0,David_124
7,54,Yes,4,5,42.0,Eve_124
6,98,No,4,4,84.0,Alice_125
2,42,No,4,0,15.0,Bob_125
6,49,No,9,1,39.0,Charlie_125
2,54,No,5,3,26.0,David_125
2,95,No,9,7,73.0,Eve_125
2,55,No,9,4,34.0,Alice_126
3,56,Yes,7,6,34.0,Bob_126
2,58,Yes,6,1,37.0,Charlie_126
4,50,Yes,6,7,34.0,David_126
9,87,No,6,4,85.0,Eve_126
6,44,Yes,7,3,31.0,Alice_127
1,44,No,8,8,18.0,Bob_127
8,97,Yes,7,5,92.0,Charlie_127
7,53,No,4,3,44.0,David_127
3,89,No,9,7,72.0,Eve_127
1,65,No,8,2,40.0,Alice_128
5,47,No,4,9,31.0,Bob_128
4,44,No,9,1,25.0,Charlie_128
8,46,Yes,9,6,44.0,David_128
1,55,No,4,3,27.0,Eve_128
1,94,Yes,7,3,66.0,Alice_129
4,53,No,6,9,34.0,Bob_129
8,76,No,8,8,70.0,Charlie_129
5,95,No,9,1,81.0,David_129
2,80,Yes,5,0,56.0,Eve_129
6,43,No,9,6,30.0,Alice_130
5,75,Yes,6,7,60.0,Bob_130
2,87,No,9,2,64.0,Charlie_130
3,95,Yes,5,1,74.0,David_130
9,56,Yes,7,3,52.0,Eve_130
7,86,Yes,9,1,84.0,Alice_131
7,75,No,8,1,66.0,Bob_131
6,45,No,7,4,32.0,Charlie_131
8,55,Yes,5,9,47.0,David_131
4,68,No,4,4,51.0,Eve_131
8,75,No,9,7,67.0,Alice_132
4,77,No,7,8,57.0,Bob_132
8,76,Yes,9,1,71.0,Charlie_132
9,87,Yes,8,0,86.0,David_132
3,96,No,9,2,77.0,Eve_132
3,87,Yes,7,5,72.0,Alice_133
2,49,No,6,4,24.0,Bob_133
