Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Name
3,56,Yes,7,6,34.0,Bob
2,58,Yes,6,1,37.0,Charlie
4,50,Yes,6,7,34.0,David
9,87,No,6,4,85.0,Eve
6,44,Yes,7,3,31.0,Alice
1,44,No,8,8,18.0,Bob
8,97,Yes,7,5,92.0,Charlie
7,53,No,4,3,44.0,David
3,89,No,9,7,72.0,Eve
1,65,No,8,2,40.0,Alice
5,47,No,4,9,31.0,Bob
4,44,No,9,1,25.0,Charlie
8,46,Yes,9,6,44.0,David
1,55,No,4,3,27.0,Eve
1,94,Yes,7,3,66.0,Alice
4,53,No,6,9,34.0,Bob
8,76,No,8,8,70.0,Charlie
5,95,No,9,1,81.0,David
2,80,Yes,5,0,56.0,Eve
6,43,No,9,6,30.0,Alice
5,75,Yes,6,7,60.0,Bob
2,87,No,9,2,64.0,Charlie
3,95,Yes,5,1,74.0,David
9,56,Yes,7,3,52.0,Eve
7,86,Yes,9,1,84.0,Alice
7,75,No,8,1,66.0,Bob
6,45,No,7,4,32.0,Charlie
8,55,Yes,5,9,47.0,David
4,68,No,4,4,51.0,Eve
8,75,No,9,7,67.0,Alice
4,77,No,7,8,57.0,Bob
8,76,Yes,9,1,71.0,Charlie
9,87,Yes,8,0,86.0,David
3,96,No,9,2,77.0,Eve
3,87,Yes,7,5,72.0,Alice
2,49,No,6,4,24.0,Bob
3,80,No,7,7,60.0,Charlie
3,75,Yes,5,7,55.0,David
5,68,Yes,7,1,54.0,Eve
5,53,No,8,8,39.0,Alice
2,43,No,7,3,19.0,Bob
6,83,No,7,0,68.0,Charlie
5,95,Yes,8,1,83.0,David
6,81,Yes,7,5,72.0,Eve
1,75,No,8,4,49.0,Alice
5,89,No,5,6,74.0,Bob
9,84,Yes,8,8,86.0,Charlie
2,52,No,5,5,26.0,David
1,85,Yes,5,5,60.0,Eve
9,57,Yes,8,1,54.0,Alice
9,72,No,7,6,73.0,Bob
9,60,No,9,1,61.0,Charlie
6,55,Yes,6,6,45.0,David
8,54,No,9,7,57.0,Eve
1,93,Yes,8,0,68.0,Alice
4,96,Yes,7,8,72.0,Bob
1,44,Yes,5,7,17.0,Charlie
8,45,No,4,8,37.0,David
1,77,No,6,4,54.0,Eve
3,42,No,9,3,22.0,Alice
4,87,Yes,7,0,73.0,Bob
8,51,Yes,6,8,47.0,Charlie
6,75,Yes,4,3,63.0,David
7,72,Yes,4,3,63.0,Eve
8,75,No,4,3,68.0,Alice
2,72,No,9,1,52.0,Bob
8,70,No,8,3,64.0,Charlie
3,60,Yes,6,1,38.0,David
7,66,Yes,8,7,60.0,Eve
3,66,No,4,6,45.0,Alice
7,47,Yes,7,9,39.0,Bob
2,95,No,4,1,75.0,Charlie
6,76,Yes,8,1,67.0,David
3,71,Yes,4,1,48.0,Eve
3,65,Yes,4,0,44.0,Alice
9,41,Yes,8,5,37.0,Bob
7,51,Yes,8,5,41.0,Charlie
5,61,No,7,0,47.0,David
7,56,No,8,0,45.0,Eve
9,46,No,7,5,43.0,Alice
1,82,Yes,5,5,54.0,Bob
7,43,No,5,3,32.0,Charlie
6,76,No,8,2,64.0,David
9,77,Yes,4,8,74.0,Eve
1,71,Yes,6,5,50.0,Alice
4,50,No,4,0,33.0,Bob
9,40,No,8,2,36.0,Charlie
4,64,No,7,0,45.0,David
3,81,No,4,2,58.0,Eve
9,91,No,5,1,85.0,Alice
2,63,Yes,9,4,41.0,Bob
4,92,No,8,2,78.0,Charlie
6,82,No,4,6,63.0,David
2,95,No,9,7,76.0,Eve
8,56,No,4,6,51.0,Alice
8,47,No,7,1,36.0,Bob
1,98,No,7,9,74.0,Charlie
3,84,Yes,7,9,65.0,David
9,66,Yes,9,6,65.0,Eve
5,91,Yes,6,9,79.0,Alice
6,57,No,9,2,46.0,Bob
4,66,No,8,6,47.0,Charlie
2,61,Yes,8,0,42.0,David
8,55,No,5,1,46.0,Eve
6,41,No,5,9,34.0,Alice
5,44,No,8,0,27.0,Bob
9,57,Yes,4,8,52.0,Charlie
